kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer
Nyborgkredsen,1. Kværndrup,Lars Kaspersen,Det Radikale Venstre,B,2
Nyborgkredsen,1. Kværndrup,Niels Helveg Petersen,Det Radikale Venstre,B,36
Nyborgkredsen,1. Kværndrup,Pia Petersen,Det Radikale Venstre,B,4
Nyborgkredsen,1. Kværndrup,Aage Thomsen,Det Radikale Venstre,B,0
Nyborgkredsen,1. Kværndrup,Anne-Line Ussing,Det Radikale Venstre,B,2
Nyborgkredsen,1. Kværndrup,Partiliste,Det Konservative Folkeparti,C,38
Nyborgkredsen,1. Kværndrup,Henrik Skov,Det Konservative Folkeparti,C,7
Nyborgkredsen,1. Kværndrup,Casper Andersen,Det Konservative Folkeparti,C,1
Nyborgkredsen,1. Kværndrup,Bendt Bendtsen,Det Konservative Folkeparti,C,99
Nyborgkredsen,1. Kværndrup,Carina Christensen,Det Konservative Folkeparti,C,10
Nyborgkredsen,1. Kværndrup,Vivi Kier,Det Konservative Folkeparti,C,0
Nyborgkredsen,1. Kværndrup,Lasse Krull,Det Konservative Folkeparti,C,2
Nyborgkredsen,1. Kværndrup,Jørgen S. Lundsgaard,Det Konservative Folkeparti,C,2
Nyborgkredsen,1. Kværndrup,Jan Møller,Det Konservative Folkeparti,C,1
Nyborgkredsen,1. Kværndrup,Ole Møller,Det Konservative Folkeparti,C,2
Nyborgkredsen,1. Kværndrup,Partiliste,Centrum-Demokraterne,D,11
Nyborgkredsen,1. Kværndrup,Jonathan Kvist Hansen,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Kværndrup,Gert Broxgaard,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Kværndrup,Elisabeth Christensen,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Kværndrup,Linda K. Clausen,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Kværndrup,Jan Gangborg,Centrum-Demokraterne,D,1
