Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Christel Schaldemose,Socialdemokratiet,54,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Lasse Quvang Rasmussen,Socialdemokratiet,6,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Britta Thomsen,Socialdemokratiet,16,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Kathrine Alexandrowiz,Socialdemokratiet,12,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Gunde Odgaard,Socialdemokratiet,56,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Rasmus Gjedssø Bertelsen,Socialdemokratiet,3,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Partiliste,Radikale Venstre,42,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Morten Helveg Petersen,Radikale Venstre,100,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Christian Kjølhede,Radikale Venstre,2,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Kristina Siig,Radikale Venstre,1,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Samira Nawa Amini,Radikale Venstre,4,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Karen Melchior,Radikale Venstre,4,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Thomas Elkjær,Radikale Venstre,1,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Sissel Kvist,Radikale Venstre,5,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Partiliste,Det Konservative Folkeparti,55,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Bendt Bendtsen,Det Konservative Folkeparti,168,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Josefine Kofoed,Det Konservative Folkeparti,17,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Tove Videbæk,Det Konservative Folkeparti,2,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Nichlas Vind,Det Konservative Folkeparti,6,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Christian Wedell-Neergaard,Det Konservative Folkeparti,0,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Morten Thiessen,Det Konservative Folkeparti,2,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Julie Broe,Det Konservative Folkeparti,0,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Catja C. Gaebel,Det Konservative Folkeparti,1,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Anders Stoltenberg,Det Konservative Folkeparti,0,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Mette-Katrine Ejby Buch,Det Konservative Folkeparti,2,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Partiliste,SF - Socialistisk Folkeparti,93,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Margrete Auken,SF - Socialistisk Folkeparti,268,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Tonni Hansen,SF - Socialistisk Folkeparti,5,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Anne-Mette Wehmüller,SF - Socialistisk Folkeparti,4,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Christine Sidenius,SF - Socialistisk Folkeparti,2,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Teis Volstrup,SF - Socialistisk Folkeparti,4,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Jacob Isøe Klærke,SF - Socialistisk Folkeparti,2,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Fathi El-Abed,SF - Socialistisk Folkeparti,9,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Halime Oguz,SF - Socialistisk Folkeparti,7,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Meta Fuglsang,SF - Socialistisk Folkeparti,1,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Allan Norre Pedersen,SF - Socialistisk Folkeparti,2,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Rune Bai Nielsen,SF - Socialistisk Folkeparti,2,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Charlotte Broman Mølbæk,SF - Socialistisk Folkeparti,3,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Michael Thomsen,SF - Socialistisk Folkeparti,0,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Søren Gytz Olesen,SF - Socialistisk Folkeparti,3,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Jan Kjær,SF - Socialistisk Folkeparti,1,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Jørgen Jørgensen,SF - Socialistisk Folkeparti,1,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Troels Stru Schmidt,SF - Socialistisk Folkeparti,3,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Lau Tambjerg,SF - Socialistisk Folkeparti,2,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Annemette Schønberg Johnsen,SF - Socialistisk Folkeparti,1,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Anne Lise Holst Jensen,SF - Socialistisk Folkeparti,2,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Partiliste,Liberal Alliance,16,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Christina Egelund,Liberal Alliance,31,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Niels Westy,Liberal Alliance,2,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Kasper Heumann Kristensen,Liberal Alliance,1,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Marianne Mørk Mathiesen,Liberal Alliance,1,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Jakob Bille,Liberal Alliance,0,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Sabeena Sareen,Liberal Alliance,2,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Andreas Hastrup,Liberal Alliance,1,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Anne Kathrine Kirk,Liberal Alliance,1,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Niels Høiby,Liberal Alliance,0,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Partiliste,Folkebevægelsen mod EU,181,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Rina Ronja Kari,Folkebevægelsen mod EU,156,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Lave K. Broch,Folkebevægelsen mod EU,12,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Ole Nors Nielsen,Folkebevægelsen mod EU,1,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Christian Juhl,Folkebevægelsen mod EU,5,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Karina Rohr Sørensen,Folkebevægelsen mod EU,2,Nordsjællands Storkreds
Helsingørkredsen,2. Skolen ved Gurrevej,Jørgen Grøn,Folkebevægelsen mod EU,2,Nordsjællands Storkreds
