Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Struerkredsen;1. Struer;Ø;Enhedslisten - De Rød-Grønne;Lars Dohn;5
Struerkredsen;1. Struer;Ø;Enhedslisten - De Rød-Grønne;Aksel Rosager Johansen;1
Struerkredsen;1. Struer;Å;Alternativet;Partiliste;42
Struerkredsen;1. Struer;Å;Alternativet;Stine Isaksen;10
Struerkredsen;1. Struer;Å;Alternativet;Andreas Skielboe;1
Struerkredsen;1. Struer;Å;Alternativet;Tatjana Stenvad;4
Struerkredsen;1. Struer;Å;Alternativet;Nicklas Stampe Raabjerg;0
Struerkredsen;1. Struer;Å;Alternativet;Laura Emilie Hollænder Jensen;4
Struerkredsen;1. Struer;Å;Alternativet;Brian Bruhn;0
Struerkredsen;2. Gimsing;A;Socialdemokratiet;Partiliste;224
Struerkredsen;2. Gimsing;A;Socialdemokratiet;Palle Lykke Ravn;71
Struerkredsen;2. Gimsing;A;Socialdemokratiet;Anders Andreasen;2
Struerkredsen;2. Gimsing;A;Socialdemokratiet;Lars Fibæk;2
Struerkredsen;2. Gimsing;A;Socialdemokratiet;Karin Gaardsted;14
Struerkredsen;2. Gimsing;A;Socialdemokratiet;Mogens Jensen;17
Struerkredsen;2. Gimsing;A;Socialdemokratiet;Thomas Jensen;8
Struerkredsen;2. Gimsing;A;Socialdemokratiet;Flemming Libner;0
Struerkredsen;2. Gimsing;A;Socialdemokratiet;Annette Lind;119
Struerkredsen;2. Gimsing;A;Socialdemokratiet;Mette Nielsen;11
Struerkredsen;2. Gimsing;A;Socialdemokratiet;Anne Paulin;5
Struerkredsen;2. Gimsing;A;Socialdemokratiet;Peter Kempf Pedersen;0
Struerkredsen;2. Gimsing;B;Radikale Venstre;Partiliste;29
Struerkredsen;2. Gimsing;B;Radikale Venstre;Josefine Schlosser;8
Struerkredsen;2. Gimsing;B;Radikale Venstre;Andreas Steenberg;10
Struerkredsen;2. Gimsing;B;Radikale Venstre;Rasmus Bach Krabbe;1
Struerkredsen;2. Gimsing;B;Radikale Venstre;Poul Elmegård;1
Struerkredsen;2. Gimsing;B;Radikale Venstre;Hanne Ringgaard Møller;2
Struerkredsen;2. Gimsing;B;Radikale Venstre;Thomas Sloth;2
Struerkredsen;2. Gimsing;B;Radikale Venstre;Hanne Roed;2
Struerkredsen;2. Gimsing;C;Det Konservative Folkeparti;Partiliste;15
Struerkredsen;2. Gimsing;C;Det Konservative Folkeparti;Søren Pape Poulsen;67
Struerkredsen;2. Gimsing;C;Det Konservative Folkeparti;Pia Olivia Christensen;1
Struerkredsen;2. Gimsing;C;Det Konservative Folkeparti;René Nord Hansen;1
Struerkredsen;2. Gimsing;C;Det Konservative Folkeparti;Line Damgaard Lauritsen;1
Struerkredsen;2. Gimsing;C;Det Konservative Folkeparti;Rasmus Norup;3
Struerkredsen;2. Gimsing;C;Det Konservative Folkeparti;Margrethe Agerup Præst;3
Struerkredsen;2. Gimsing;C;Det Konservative Folkeparti;Orla Østerby;10
Struerkredsen;2. Gimsing;D;Nye Borgerlige;Partiliste;14
Struerkredsen;2. Gimsing;D;Nye Borgerlige;Nick Mogensen;3
Struerkredsen;2. Gimsing;D;Nye Borgerlige;Tina Hedegaard Pedersen;2
Struerkredsen;2. Gimsing;D;Nye Borgerlige;Thomas Bachmann;1
Struerkredsen;2. Gimsing;D;Nye Borgerlige;Peter Grydehøj;0
Struerkredsen;2. Gimsing;D;Nye Borgerlige;Helge Hoffmann;0
Struerkredsen;2. Gimsing;D;Nye Borgerlige;Gitte Keller;0
Struerkredsen;2. Gimsing;E;Klaus Riskær Pedersen;Partiliste;4
Struerkredsen;2. Gimsing;E;Klaus Riskær Pedersen;Kim Durup;1
Struerkredsen;2. Gimsing;F;SF - Socialistisk Folkeparti;Partiliste;38
Struerkredsen;2. Gimsing;F;SF - Socialistisk Folkeparti;Signe Munk;29
Struerkredsen;2. Gimsing;F;SF - Socialistisk Folkeparti;Karsten Filsø;12
Struerkredsen;2. Gimsing;F;SF - Socialistisk Folkeparti;Bente Refslund;1
Struerkredsen;2. Gimsing;F;SF - Socialistisk Folkeparti;Hanne D. Jacobsen;7
Struerkredsen;2. Gimsing;F;SF - Socialistisk Folkeparti;Andreas Albertsen;1
Struerkredsen;2. Gimsing;F;SF - Socialistisk Folkeparti;Anders Bøge;1
Struerkredsen;2. Gimsing;F;SF - Socialistisk Folkeparti;Anders Udengaard;0
Struerkredsen;2. Gimsing;F;SF - Socialistisk Folkeparti;Emma Thorup Jacobsen;1
Struerkredsen;2. Gimsing;F;SF - Socialistisk Folkeparti;Peter Nowack;0
Struerkredsen;2. Gimsing;I;Liberal Alliance;Partiliste;6
Struerkredsen;2. Gimsing;I;Liberal Alliance;Alex Vanopslagh;32
Struerkredsen;2. Gimsing;I;Liberal Alliance;Søren Lodahl;0
Struerkredsen;2. Gimsing;I;Liberal Alliance;Sine Rahbek;0
Struerkredsen;2. Gimsing;I;Liberal Alliance;Nicolaj Dupont-Mersing;0
Struerkredsen;2. Gimsing;I;Liberal Alliance;Jannie Leth Christensen;0
Struerkredsen;2. Gimsing;I;Liberal Alliance;Lene Foged;1
Struerkredsen;2. Gimsing;I;Liberal Alliance;Steffen Troldtoft;0
Struerkredsen;2. Gimsing;I;Liberal Alliance;Rune Leth Svenninggaard;0
Struerkredsen;2. Gimsing;K;Kristendemokraterne;Partiliste;13
Struerkredsen;2. Gimsing;K;Kristendemokraterne;Jens Erik Thomey Damgaard;1
Struerkredsen;2. Gimsing;K;Kristendemokraterne;Kristian Andersen;11
Struerkredsen;2. Gimsing;K;Kristendemokraterne;Simon Skals;1
Struerkredsen;2. Gimsing;K;Kristendemokraterne;Jens Kr. Mølby Nielsen;0
Struerkredsen;2. Gimsing;K;Kristendemokraterne;Annemarie Bjerre;2
Struerkredsen;2. Gimsing;K;Kristendemokraterne;Frits Hammershøj;0
Struerkredsen;2. Gimsing;K;Kristendemokraterne;Hanne Simonsen;0
Struerkredsen;2. Gimsing;K;Kristendemokraterne;Karlo Brondbjerg;0
Struerkredsen;2. Gimsing;K;Kristendemokraterne;Henrik Dideriksen;0
Struerkredsen;2. Gimsing;K;Kristendemokraterne;Karen-Margrethe Lysholm;0
Struerkredsen;2. Gimsing;O;Dansk Folkeparti;Partiliste;81
Struerkredsen;2. Gimsing;O;Dansk Folkeparti;Alex Rosenbæk;5
Struerkredsen;2. Gimsing;O;Dansk Folkeparti;Dennis Flydtkjær;12
Struerkredsen;2. Gimsing;O;Dansk Folkeparti;Jette Lund;17
Struerkredsen;2. Gimsing;O;Dansk Folkeparti;Richardt Graakjær Bostrup Møller;0
Struerkredsen;2. Gimsing;O;Dansk Folkeparti;Jakob Kjærsgaard;1
Struerkredsen;2. Gimsing;O;Dansk Folkeparti;Bo Sand Kristensen;0
Struerkredsen;2. Gimsing;O;Dansk Folkeparti;Kuno F. Danielsen;1
Struerkredsen;2. Gimsing;O;Dansk Folkeparti;Karina Due;2
Struerkredsen;2. Gimsing;O;Dansk Folkeparti;Christian Langballe;5
Struerkredsen;2. Gimsing;O;Dansk Folkeparti;Liselotte Lynge Jensen;1
Struerkredsen;2. Gimsing;O;Dansk Folkeparti;Anette Svindborg;2
Struerkredsen;2. Gimsing;P;Stram Kurs;Partiliste;33
Struerkredsen;2. Gimsing;P;Stram Kurs;Emil Normann Munk;3
Struerkredsen;2. Gimsing;P;Stram Kurs;August Jeberg;0
Struerkredsen;2. Gimsing;P;Stram Kurs;Thomas Schack;0
Struerkredsen;2. Gimsing;V;Venstre, Danmarks Liberale Parti;Partiliste;91
Struerkredsen;2. Gimsing;V;Venstre, Danmarks Liberale Parti;Thomas Danielsen;154
Struerkredsen;2. Gimsing;V;Venstre, Danmarks Liberale Parti;Anders G. Jacobsen;7
Struerkredsen;2. Gimsing;V;Venstre, Danmarks Liberale Parti;Bent Jensen;0
Struerkredsen;2. Gimsing;V;Venstre, Danmarks Liberale Parti;Kristian Jensen;20
Struerkredsen;2. Gimsing;V;Venstre, Danmarks Liberale Parti;Natascha Joof;0
Struerkredsen;2. Gimsing;V;Venstre, Danmarks Liberale Parti;Carsten Kissmeyer;4
Struerkredsen;2. Gimsing;V;Venstre, Danmarks Liberale Parti;Holger Laustsen;0
Struerkredsen;2. Gimsing;V;Venstre, Danmarks Liberale Parti;Kristian Pihl Lorentzen;5
Struerkredsen;2. Gimsing;V;Venstre, Danmarks Liberale Parti;Kenneth Mikkelsen;0
Struerkredsen;2. Gimsing;V;Venstre, Danmarks Liberale Parti;Inger Støjberg;91
Struerkredsen;2. Gimsing;V;Venstre, Danmarks Liberale Parti;Gitte Willumsen;0
Struerkredsen;2. Gimsing;Ø;Enhedslisten - De Rød-Grønne;Partiliste;30
Struerkredsen;2. Gimsing;Ø;Enhedslisten - De Rød-Grønne;Ditte Stage Kroman;6
Struerkredsen;2. Gimsing;Ø;Enhedslisten - De Rød-Grønne;Jakob Sølvhøj;3
Struerkredsen;2. Gimsing;Ø;Enhedslisten - De Rød-Grønne;Jakob Lindell Ruggaard;0
Struerkredsen;2. Gimsing;Ø;Enhedslisten - De Rød-Grønne;Lea Kielsholm;0
Struerkredsen;2. Gimsing;Ø;Enhedslisten - De Rød-Grønne;Mehmet Akbina;2
Struerkredsen;2. Gimsing;Ø;Enhedslisten - De Rød-Grønne;Malte Bang;0
Struerkredsen;2. Gimsing;Ø;Enhedslisten - De Rød-Grønne;Johnny Zaar;0
Struerkredsen;2. Gimsing;Ø;Enhedslisten - De Rød-Grønne;Lars Dohn;0
Struerkredsen;2. Gimsing;Ø;Enhedslisten - De Rød-Grønne;Aksel Rosager Johansen;0
Struerkredsen;2. Gimsing;Å;Alternativet;Partiliste;21
